event_ticker|player|result|ts|price|yes_bid|yes_ask|msg_type|volume|open_interest|taker_side|close_ts|settlement_ts
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995926305|0.93|0.0|0.0|trade|35.53|0.0|no|1783996226000|1783996349516
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995926305|0.93|0.93|0.94|ticker|4233050.82|1587254.3||1783996226000|1783996349516
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995926886|0.93|0.0|0.0|trade|606.54|0.0|no|1783996226000|1783996349516
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995927123|0.94|0.0|0.0|trade|15.89|0.0|yes|1783996226000|1783996349516
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995927190|0.94|0.0|0.0|trade|264.84|0.0|yes|1783996226000|1783996349516
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995927380|0.94|0.0|0.0|trade|711.9|0.0|yes|1783996226000|1783996349516
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995927380|0.94|0.0|0.0|trade|47.94|0.0|yes|1783996226000|1783996349516
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995927380|0.94|0.0|0.0|trade|46.0|0.0|yes|1783996226000|1783996349516
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995927380|0.94|0.0|0.0|trade|3000.0|0.0|yes|1783996226000|1783996349516
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995927380|0.94|0.0|0.0|trade|431.68|0.0|yes|1783996226000|1783996349516
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995927593|0.93|0.0|0.0|trade|17.25|0.0|no|1783996226000|1783996349516
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995927609|0.94|0.0|0.0|trade|42.37|0.0|yes|1783996226000|1783996349516
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995927609|0.94|0.93|0.94|ticker|4243419.64|1596245.16||1783996226000|1783996349516
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995928073|0.94|0.0|0.0|trade|104.0|0.0|yes|1783996226000|1783996349516
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995928571|0.93|0.0|0.0|trade|22.15|0.0|no|1783996226000|1783996349516
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995928571|0.93|0.93|0.94|ticker|4243671.94|1596408.86||1783996226000|1783996349516
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995929234|0.94|0.0|0.0|trade|8.47|0.0|yes|1783996226000|1783996349516
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995929355|0.93|0.0|0.0|trade|71.88|0.0|no|1783996226000|1783996349516
KXATPCHALLENGERMATCH-26JUL13ARSMAR|Arseneault vs Martin|Nicolas Arseneault|yes|1783995929726|0.94|0.0|0.0|trade|251.07|0.0|yes|1783996226000|1783996349516
